tijd,m1,m2,v
11.600000000000001,6716.491466486071,770.0166717363994,9.399631273369902
11.700000000000001,6723.790600673354,762.8483446343034,9.399664348874714
11.8,6730.942981830177,755.8241045902602,9.39969445865093
11.9,6737.951284334003,748.941325873485,9.399721865635996
12.0,6744.8181459350735,742.1974204674964,9.399746815860492
12.100000000000001,6751.546168963536,735.5898351047667,9.399769524235873
12.200000000000001,6758.137915911937,729.1160541189182,9.399790195512608
12.3,6764.595913130271,722.7735977878415,9.399809013735144
12.4,6770.922652015632,716.5600223053756,9.399826141056646
12.5,6777.120584717624,710.4729207124695,9.399841733764779
12.600000000000001,6783.192127597875,704.5099214467986,9.39985592787933
12.700000000000001,6789.139660324942,698.6686890526794,9.399868848207593
12.8,6794.965525915263,692.9469243056996,9.399880611785044
12.9,6800.672032346318,687.3423621380032,9.399891319094987
13.0,6806.26145057815,681.8527740707623,9.399901066693952
13.100000000000001,6811.736015889279,676.4759662640535,9.399909940772199
13.200000000000001,6817.097927612897,671.2097793397063,9.399918018116821
13.3,6822.349349627401,666.052089166395,9.399925371583867
13.4,6827.492411855849,661.0008054436092,9.399932065086443
13.5,6832.529209060217,656.0538721291907,9.399938157831732
13.600000000000001,6837.461801112792,651.2092671484866,9.399943704650797
13.700000000000001,6842.292213860072,646.4650014542966,9.399948751596197
13.8,6847.0224391356505,641.8191199077053,9.399953345477446
13.9,6851.654435046557,637.2697002921369,9.399957528616014
14.0,6856.190127717913,632.8148519454278,9.399961335167445
14.100000000000001,6860.631409644293,628.4527171826985,9.399964799255493
14.200000000000001,6864.980140451235,624.181470613183,9.399967953710146
14.3,6869.238147989366,619.9993178336434,9.399970826309008
14.4,6873.407228582558,615.9044950190387,9.399973439886596
14.5,6877.489146452413,611.8952703693584,9.399975819752457
14.600000000000001,6881.485634882263,607.969942205141,9.399977987755936
14.700000000000001,6885.398397382031,604.1268380630529,9.399979960427553
14.8,6889.229106047342,600.3643162203027,9.399981756525145
14.9,6892.979403285549,596.6807640522777,9.39998339226637
15.0,6896.65090249154,593.074597662055,9.399984881263551
15.100000000000001,6900.245187672561,589.5442618966963,9.399986236477616
15.200000000000001,6903.763813834199,586.0882299793063,9.399987470394024
15.3,6907.208307767534,582.7050028697837,9.399988593863274
15.4,6910.580168374285,579.3931088549351,9.399989615998258
15.5,6913.8808667726225,576.1511035856507,9.399990546531432
15.600000000000001,6917.111846909173,572.9775693597488,9.3999913941005
15.700000000000001,6920.274526086285,569.8711143304804,9.399992164022095
15.8,6923.370294912332,566.8303732099487,9.39999286448487
15.9,6926.400518007902,563.8540060911623,9.399993502171165
16.0,6929.366534307692,560.9406982763577,9.399994083532906
16.1,6932.26965768389,558.0891596104557,9.399994612154595
16.2,6935.111177030095,555.2981244688077,9.399995092345854
16.3,6937.892356614564,552.5663514182719,9.39999552962373
16.400000000000002,6940.614436668446,549.8926225933154,9.399995928481696
16.5,6943.278633710037,547.2757434259898,9.399996292454754
16.6,6945.886140951149,544.7145422993987,9.399996622722623
16.7,6948.438128616667,542.2078700414269,9.399996923621952
16.8,6950.935744391269,539.7545996524805,9.399997198037111
16.900000000000002,6953.380113791656,537.353625896161,9.399997448719375
17.0,6955.77233974608,535.0038656947511,9.399997676589775
17.1,6958.113504533725,532.7042562618548,9.399997884136274
17.2,6960.404669165486,530.4537556884452,9.399998073287634
17.3,6962.646873911171,528.251342429637,9.399998245762042
17.400000000000002,6964.841138038722,526.0960155196242,9.399998402853821
17.5,6966.988460719253,523.9867937172139,9.399998545721928
17.6,6969.089822179891,521.9227144236971,9.399998675799807
17.7,6971.146182993006,519.9028343128697,9.399998794292552
17.8,6973.158484577652,517.9262288617907,9.399998902275145
17.900000000000002,6975.127648539888,515.9919930052853,9.399999000251334
18.0,6977.054579709023,514.0992381378314,9.399999089390494
18.1,6978.940164369748,512.2470938632811,9.39999917058338
18.2,6980.785271174143,510.4347070960972,9.399999244714556
18.3,6982.590750200854,508.66124300525416,9.39999931200121
18.400000000000002,6984.357435475864,506.9258825062197,9.399999373150852
18.5,6986.086144365851,505.22782287161357,9.399999428875711
18.6,6987.777677666703,503.5662776486479,9.399999479772413
18.7,6989.432819461768,501.94047678588794,9.39999952621919
18.8,6991.052337483097,500.34966627943385,9.399999568394017
18.900000000000002,6992.636985219059,498.7931061305638,9.399999606849109
19.0,6994.187500430581,497.2700717758303,9.399999641941259
19.1,6995.704605902711,495.7798533563581,9.39999967399626
19.200000000000003,6997.189007977606,494.3217571413445,9.399999703160512
19.3,6998.641400794314,492.895101403091,9.399999729743087
19.400000000000002,7000.062463636778,491.4992189926158,9.399999753965492
19.5,7001.452861995546,490.1334563045906,9.399999776030594
19.6,7002.813246591397,488.79717424109043,9.399999796114706
